_id,Dependencias y entidades del GobOax,De base hombres,De base mujeres,De base total,Contrato Hombres,Contrato mujeres,Contrato total,Confianza hombres,Confianza Mujeres,Confianza total,Contrato confianza hombres,Contrato confianza Mujeres,Contrato confianza total,Mandos medios y superiores hombres,Mandos medios y superiores mujeres,Mandos medios y superiores total,Hombres subtotal,Mujeres subtotal,Subtotal,Haberes cuerpos policiacos hombres,Haberes cuerpos policiacos mujeres,Haberes cuerpos policiacos total,Total general hombres,Total general mujeres,Total General
29,Sistema para el Desarrollo Integral de la Familia,469,171,640,5,2,7,36,18,54,209,126,335,38,45,83,0757-03-07T00:00:00,0362-03-07T00:00:00,"1,119",0,0,0,757,0362-03-07T00:00:00,"1,119"
30,Fondo para el Fomento Estatal de las Actividades Productivas de Oaxaca,0,0,0,2,2,4,0,0,0,2,0,2,8,5,13,2014-03-12T00:00:00,2014-03-07T00:00:00,19,0,0,0,12,2014-03-07T00:00:00,19
31,Consejo Estatal para la Prevención y Control del SIDA,0,0,0,1,1,2,4,4,8,8,2,10,2,4,6,2014-03-15T00:00:00,2014-03-11T00:00:00,26,0,0,0,15,2014-03-11T00:00:00,26
32,Comisión Estatal del Agua,129,212,341,0,1,1,9,30,39,12,11,23,8,26,34,0158-03-07T00:00:00,0280-03-07T00:00:00,438,0,0,0,158,0280-03-07T00:00:00,438
33,Comisión Estatal de Cultura Física y Deporte,26,61,87,1,3,4,0,0,0,6,11,17,1,12,13,2034-03-07T00:00:00,1987-03-07T00:00:00,121,0,0,0,34,1987-03-07T00:00:00,121
34,Comisión Estatal de la Juventud,36,19,55,0,1,1,0,0,0,4,10,14,5,4,9,2045-03-07T00:00:00,2034-03-07T00:00:00,79,0,0,0,45,2034-03-07T00:00:00,79
35,Comisión Estatal de Vivienda,100,114,214,0,0,0,2,7,9,18,14,32,8,23,31,0128-03-07T00:00:00,0158-03-07T00:00:00,286,0,0,0,128,0158-03-07T00:00:00,286
36,Instituto Estatal de Ecología y Desarrollo Sustentable,0,0,0,9,7,16,0,0,0,7,8,15,6,8,14,2014-03-22T00:00:00,2014-03-23T00:00:00,45,0,0,0,22,2014-03-23T00:00:00,45
37,Oficina de Pensiones del Estado de Oaxaca,42,24,66,0,0,0,5,3,8,12,3,15,2,6,8,2061-03-07T00:00:00,2036-03-07T00:00:00,97,0,0,0,61,2036-03-07T00:00:00,97
38,Centro de Diseńo de Oaxaca,0,0,0,0,0,0,0,0,0,4,1,5,7,5,12,2014-03-11T00:00:00,2014-03-06T00:00:00,17,0,0,0,11,2014-03-06T00:00:00,17
39,Instituto Oaxaqueńo Constructor de Infraestructura Física Educativa,21,36,57,2,4,6,0,0,0,7,12,19,6,24,30,2036-03-07T00:00:00,1976-03-07T00:00:00,112,0,0,0,36,1976-03-07T00:00:00,112
40,Hospital de la Nińez Oaxaqueńa,0,0,0,1,1,2,0,0,0,6,3,9,7,6,13,2014-03-14T00:00:00,2014-03-10T00:00:00,24,0,0,0,14,2014-03-10T00:00:00,24
41,Instituto de Capacitación y Productividad para el Trabajo del Estado de Oaxaca,0,0,0,21,17,38,0,0,0,29,32,61,16,12,28,1966-03-07T00:00:00,2061-03-07T00:00:00,127,0,0,0,66,2061-03-07T00:00:00,127
42,Corporación Oaxaqueńa de Radio y Televisión,0,0,0,4,8,12,0,0,0,12,21,33,7,13,20,2014-03-23T00:00:00,2042-03-07T00:00:00,65,0,0,0,23,2042-03-07T00:00:00,65
43,Comisión para la Regularización de la Tenencia de la Tierra Urbana del Estado de Oaxaca,0,0,0,4,4,8,0,0,0,3,3,6,2,10,12,2014-03-09T00:00:00,2014-03-17T00:00:00,26,0,0,0,9,2014-03-17T00:00:00,26
44,Instituto de la Mujer Oaxaqueńa,0,0,0,8,2,10,0,0,0,8,4,12,15,1,16,2014-03-31T00:00:00,2014-03-07T00:00:00,38,0,0,0,31,2014-03-07T00:00:00,38
45,Instituto del Patrimonio Cultural del Estado de Oaxaca,0,0,0,3,4,7,0,0,0,5,5,10,7,13,20,2014-03-15T00:00:00,2014-03-22T00:00:00,37,0,0,0,15,2014-03-22T00:00:00,37
46,Coordinación de Espacios Culturales,0,0,0,1,0,1,0,1,1,12,8,20,4,6,10,2014-03-17T00:00:00,2014-03-15T00:00:00,32,0,0,0,17,2014-03-15T00:00:00,32
47,TOTALES,"4,819","5,328","10,147",239,283,522,"2,169","1,153","3,322","1,344","1,010","2,354","1,459",946,"2,405",1980-10-07T00:00:00,0778-08-07T00:00:00,"18,750","5,242","1,049","6,291","15,322",0827-09-07T00:00:00,"25,041"
